127.0.0.1 - - [20/Aug/2025:13:35:22 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [20/Aug/2025:13:35:25 +0530] "GET /PetHubProject/ HTTP/1.1" 200 44209
0:0:0:0:0:0:0:1 - - [20/Aug/2025:13:35:25 +0530] "GET /PetHubProject/Images/Logo.png HTTP/1.1" 200 36128
0:0:0:0:0:0:0:1 - - [20/Aug/2025:13:35:25 +0530] "GET /PetHubProject/index.css HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [20/Aug/2025:13:35:25 +0530] "GET /PetHubProject/assests/cat.avif HTTP/1.1" 200 20230
0:0:0:0:0:0:0:1 - - [20/Aug/2025:13:35:25 +0530] "GET /PetHubProject/assests/Dogs.avif HTTP/1.1" 200 19194
0:0:0:0:0:0:0:1 - - [20/Aug/2025:13:35:25 +0530] "GET /PetHubProject/assests/BirdsNav.jpg HTTP/1.1" 200 38353
0:0:0:0:0:0:0:1 - - [20/Aug/2025:13:35:25 +0530] "GET /PetHubProject/assests/FishNav.jpg HTTP/1.1" 200 33308
0:0:0:0:0:0:0:1 - - [20/Aug/2025:13:35:25 +0530] "GET /PetHubProject/Images/Dogmain.avif HTTP/1.1" 200 10186
0:0:0:0:0:0:0:1 - - [20/Aug/2025:13:35:25 +0530] "GET /PetHubProject/Images/cat2.webp HTTP/1.1" 200 7374
0:0:0:0:0:0:0:1 - - [20/Aug/2025:13:35:25 +0530] "GET /PetHubProject/Images/Bird.webp HTTP/1.1" 200 5432
0:0:0:0:0:0:0:1 - - [20/Aug/2025:13:35:25 +0530] "GET /PetHubProject/img/dogs.png HTTP/1.1" 200 22781
0:0:0:0:0:0:0:1 - - [20/Aug/2025:13:35:25 +0530] "GET /PetHubProject/Images/Fish.webp HTTP/1.1" 200 8946
0:0:0:0:0:0:0:1 - - [20/Aug/2025:13:35:25 +0530] "GET /PetHubProject/img/cat.avif HTTP/1.1" 200 21676
0:0:0:0:0:0:0:1 - - [20/Aug/2025:13:35:25 +0530] "GET /PetHubProject/img/cat2.jfif.jpg HTTP/1.1" 200 9635
0:0:0:0:0:0:0:1 - - [20/Aug/2025:13:35:25 +0530] "GET /PetHubProject/img/Dogs1.png HTTP/1.1" 200 31550
0:0:0:0:0:0:0:1 - - [20/Aug/2025:13:35:25 +0530] "GET /PetHubProject/img/fish.jpg HTTP/1.1" 200 54135
0:0:0:0:0:0:0:1 - - [20/Aug/2025:13:35:25 +0530] "GET /PetHubProject/img/Aboutus.jpeg HTTP/1.1" 200 6314
0:0:0:0:0:0:0:1 - - [20/Aug/2025:13:35:26 +0530] "GET /PetHubProject/img/birds-cage.jpg HTTP/1.1" 200 76028
0:0:0:0:0:0:0:1 - - [20/Aug/2025:13:35:26 +0530] "GET /PetHubProject/Images/Logo1.png HTTP/1.1" 200 127353
0:0:0:0:0:0:0:1 - - [20/Aug/2025:13:35:26 +0530] "GET /PetHubProject/Images1/banner.webp HTTP/1.1" 200 43480
0:0:0:0:0:0:0:1 - - [20/Aug/2025:13:35:27 +0530] "GET /PetHubProject/Images1/CatVideo.mp4 HTTP/1.1" 206 2582377
0:0:0:0:0:0:0:1 - - [20/Aug/2025:13:35:27 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Aug/2025:13:35:46 +0530] "GET /PetHubProject/ HTTP/1.1" 200 44209
0:0:0:0:0:0:0:1 - - [20/Aug/2025:13:35:46 +0530] "GET /PetHubProject/index.css HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [20/Aug/2025:13:36:11 +0530] "GET /PetHubProject/ HTTP/1.1" 200 44209
0:0:0:0:0:0:0:1 - - [20/Aug/2025:13:36:11 +0530] "GET /PetHubProject/index.css HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [20/Aug/2025:13:36:12 +0530] "GET /PetHubProject/ HTTP/1.1" 200 44209
0:0:0:0:0:0:0:1 - - [20/Aug/2025:13:36:12 +0530] "GET /PetHubProject/index.css HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [20/Aug/2025:13:36:21 +0530] "GET /PetHubProject/dog.jsp?animal=dogfood HTTP/1.1" 200 8132
0:0:0:0:0:0:0:1 - - [20/Aug/2025:13:36:21 +0530] "GET /PetHubProject/Images1/catlogo.png HTTP/1.1" 200 5717
0:0:0:0:0:0:0:1 - - [20/Aug/2025:13:36:21 +0530] "GET /PetHubProject/Images1/birdlogo.jpeg HTTP/1.1" 200 6323
0:0:0:0:0:0:0:1 - - [20/Aug/2025:13:36:21 +0530] "GET /PetHubProject/Images1/fishlogo.jpeg HTTP/1.1" 200 8630
0:0:0:0:0:0:0:1 - - [20/Aug/2025:13:36:28 +0530] "GET /PetHubProject/dog.jsp?animal=doggrooming HTTP/1.1" 200 8132
0:0:0:0:0:0:0:1 - - [20/Aug/2025:13:36:30 +0530] "GET /PetHubProject/dog.jsp?animal=dogfood HTTP/1.1" 200 8132
0:0:0:0:0:0:0:1 - - [20/Aug/2025:13:36:33 +0530] "GET /PetHubProject/dog.jsp?animal=dogaccessories HTTP/1.1" 200 8132
0:0:0:0:0:0:0:1 - - [20/Aug/2025:13:36:35 +0530] "GET /PetHubProject/dog.jsp?animal=doggrooming HTTP/1.1" 200 8132
0:0:0:0:0:0:0:1 - - [20/Aug/2025:13:36:37 +0530] "GET /PetHubProject/dog.jsp?animal=dogtreats HTTP/1.1" 200 8132
0:0:0:0:0:0:0:1 - - [20/Aug/2025:13:36:38 +0530] "GET /PetHubProject/dog.jsp?animal=dogtreats HTTP/1.1" 200 8132
0:0:0:0:0:0:0:1 - - [20/Aug/2025:13:36:39 +0530] "GET /PetHubProject/Cat.jsp?animal=catfood HTTP/1.1" 200 6975
0:0:0:0:0:0:0:1 - - [20/Aug/2025:13:36:39 +0530] "GET /PetHubProject/Cat.jsp?animal=catfood HTTP/1.1" 200 6975
0:0:0:0:0:0:0:1 - - [20/Aug/2025:13:36:39 +0530] "GET /PetHubProject/Images1/doglogo.avif HTTP/1.1" 200 17586
0:0:0:0:0:0:0:1 - - [20/Aug/2025:14:08:39 +0530] "GET /PetHubProject/Cat.jsp?animal=catfood HTTP/1.1" 200 6975
0:0:0:0:0:0:0:1 - - [20/Aug/2025:14:08:42 +0530] "GET /PetHubProject/Login.jsp HTTP/1.1" 200 8065
0:0:0:0:0:0:0:1 - - [20/Aug/2025:14:08:42 +0530] "GET /PetHubProject/Images1/loginimage.webp HTTP/1.1" 200 65618
0:0:0:0:0:0:0:1 - - [20/Aug/2025:14:08:57 +0530] "GET /PetHubProject/Home1.jsp HTTP/1.1" 200 44209
0:0:0:0:0:0:0:1 - - [20/Aug/2025:14:08:57 +0530] "GET /PetHubProject/index.css HTTP/1.1" 404 779
